,AWADHI,MAITHILI,MARATHI,SURJAPURI,HINDI,ENGLISH,HALBI,SHEKHAWATI,ODIA,DURUWA,AGARIYA,BENGALI,LAMBADI,BUNDELI,BHILI,MAGAHI,GARHWALI,SURGUJIA,BHOJPURI,MEWARI,ANGIKA,TULU,KANNADA,SADRI,MALAYALAM,TELUGU,KUMAONI,BAGRI,BHATRI,TAMIL,ASSAMESE,SANTALI,WAGDI,GUJARATI,URDU,KURUKH
Rao,2,8,10,5,130,0,1,0,0,0,0,63,0,0,3,6,11,0,13,0,1,0,2,1,0,3,0,0,0,1,0,1,0,0,0,0
Burmese,2,70,248,20,2346,0,8,0,0,0,0,279,0,3,3,48,71,3,75,0,27,2,59,1,1,143,3,0,0,2,0,10,0,0,23,0
Seri,1,0,1,0,18,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Kinyarwanda,1,4,11,1,104,0,0,0,0,0,0,36,0,0,0,5,2,2,5,0,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0
Occitan (post 1500),1,14,67,4,237,0,5,0,0,0,0,158,0,0,1,13,2,2,13,0,4,3,12,0,0,34,0,0,0,0,0,0,0,0,0,0
Romanian,1,29,132,1,282,0,5,0,0,2,0,70,0,0,5,4,9,0,2,0,2,6,27,0,0,26,1,0,0,0,0,1,0,0,1,0
Teop,1,1,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arabic,3,23,51,4,386,0,0,0,0,0,0,35,0,0,0,17,5,1,9,0,2,2,35,0,0,17,0,0,0,0,0,0,0,0,6,4
Bundeli,3,355,4,6,7742,0,0,0,0,0,0,4,0,18,0,176,17,0,143,0,100,0,19,10,0,7,3,0,0,0,0,0,0,0,11,3
Curripaco,1,0,2,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Latin,1,24,24,2,443,0,0,0,0,4,0,169,0,0,0,15,11,0,9,0,4,5,30,0,0,47,0,0,0,0,0,0,0,0,7,0
Daur,1,7,9,8,37,1,0,0,0,0,0,83,0,0,1,2,13,0,3,0,1,1,17,0,0,7,1,0,0,0,0,0,0,0,0,2
Suruí,3,29,44,3,1075,0,6,0,0,0,0,26,0,1,5,10,5,3,40,0,1,1,21,0,0,17,0,0,0,0,0,1,0,0,4,1
Nambo,1,0,6,1,23,0,1,0,0,0,0,8,0,0,0,1,1,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Khasi,1,31,29,11,133,0,4,0,0,0,0,15,0,1,0,6,3,0,17,0,1,0,6,5,0,11,0,0,0,0,0,2,0,0,0,1
Tamil,1,27,130,12,1438,4,5,0,0,2,0,105,0,7,2,25,59,0,28,0,3,224,6108,1,66,2481,3,0,0,1244,0,4,0,0,13,7
Kazakh,1,8,23,2,162,0,0,0,0,3,0,83,0,0,0,4,5,2,4,0,0,0,55,0,0,35,0,0,0,0,0,0,0,0,0,0
Guarani,5,24,102,1,934,0,2,0,0,0,0,116,0,0,1,14,5,0,25,0,3,0,8,5,0,20,2,0,0,0,0,2,0,0,9,0
